Ligand#,index_Rh,index_donor_max,index_donor_min,element_Rh,element_donor_max,element_donor_min,distance_pi_bond_1,distance_pi_bond_1_element_1,distance_pi_bond_1_element_2,distance_pi_bond_1_element_1_idx,distance_pi_bond_1_element_2_idx,distance_pi_bond_2,distance_pi_bond_2_element_1,distance_pi_bond_2_element_2,distance_pi_bond_2_element_1_idx,distance_pi_bond_2_element_2_idx,dihedral_angle_1,dihedral_angle_1_element_1,dihedral_angle_1_element_2,dihedral_angle_1_element_3,dihedral_angle_1_element_4,dihedral_angle_1_index_1,dihedral_angle_1_index_2,dihedral_angle_1_index_3,dihedral_angle_1_index_4,dihedral_angle_2,dihedral_angle_2_element_1,dihedral_angle_2_element_2,dihedral_angle_2_element_3,dihedral_angle_2_element_4,dihedral_angle_2_index_1,dihedral_angle_2_index_2,dihedral_angle_2_index_3,dihedral_angle_2_index_4,NE_quad,NW_quad,SW_quad,SE_quad,"+,+,+_octant","-,+,+_octant","-,-,+_octant","+,-,+_octant","+,-,-_octant","-,-,-_octant","-,+,-_octant","+,+,-_octant",bite_angle,cone_angle,distance_Rh_max_donor_gaussian,distance_Rh_min_donor_gaussian,buried_volume_Rh_3.5A,buried_volume_donor_max,buried_volume_donor_min,buried_volume_Rh_4A,buried_volume_Rh_5A,buried_volume_Rh_6A,buried_volume_Rh_7A,dispersion_p_int_Rh_gfn2_xtb,dispersion_p_int_donor_max_gfn2_xtb,dispersion_p_int_donor_min_gfn2_xtb,sasa_gfn2_xtb,ip_gfn2_xtb,dipole_gfn2_xtb,ea_gfn2_xtb,electrofugality_gfn2_xtb,nucleofugality_gfn2_xtb,nucleophilicity_gfn2_xtb,electrophilicity_gfn2_xtb,HOMO_LUMO_gap_gfn2_xtb,optimization_success_dft,wall_time_dft,cpu_time_dft,sum_electronic_and_free_energy_dft,sum_electronic_and_enthalpy_dft,zero_point_correction_dft,entropy_dft,orbital_occupation_min_donor_Rh_dft,anti_orbital_occupation_min_donor_Rh_dft,orbital_occupation_max_donor_Rh_dft,anti_orbital_occupation_max_donor_Rh_dft,orbital_occupation_min_donor_other_atom_1_dft,orbital_occupation_min_donor_other_atom_1_element_dft,orbital_occupation_min_donor_other_atom_1_index_dft,orbital_occupation_min_donor_other_atom_2_dft,orbital_occupation_min_donor_other_atom_2_element_dft,orbital_occupation_min_donor_other_atom_2_index_dft,orbital_occupation_min_donor_other_atom_3_dft,orbital_occupation_min_donor_other_atom_3_element_dft,orbital_occupation_min_donor_other_atom_3_index_dft,anti_orbital_occupation_min_donor_other_atom_1_dft,anti_orbital_occupation_min_donor_other_atom_1_element_dft,anti_orbital_occupation_min_donor_other_atom_1_index_dft,anti_orbital_occupation_min_donor_other_atom_2_dft,anti_orbital_occupation_min_donor_other_atom_2_element_dft,anti_orbital_occupation_min_donor_other_atom_2_index_dft,anti_orbital_occupation_min_donor_other_atom_3_dft,anti_orbital_occupation_min_donor_other_atom_3_element_dft,anti_orbital_occupation_min_donor_other_atom_3_index_dft,orbital_occupation_max_donor_other_atom_1_dft,orbital_occupation_max_donor_other_atom_1_element_dft,orbital_occupation_max_donor_other_atom_1_index_dft,orbital_occupation_max_donor_other_atom_2_dft,orbital_occupation_max_donor_other_atom_2_element_dft,orbital_occupation_max_donor_other_atom_2_index_dft,orbital_occupation_max_donor_other_atom_3_dft,orbital_occupation_max_donor_other_atom_3_element_dft,orbital_occupation_max_donor_other_atom_3_index_dft,anti_orbital_occupation_max_donor_other_atom_1_dft,anti_orbital_occupation_max_donor_other_atom_1_element_dft,anti_orbital_occupation_max_donor_other_atom_1_index_dft,anti_orbital_occupation_max_donor_other_atom_2_dft,anti_orbital_occupation_max_donor_other_atom_2_element_dft,anti_orbital_occupation_max_donor_other_atom_2_index_dft,anti_orbital_occupation_max_donor_other_atom_3_dft,anti_orbital_occupation_max_donor_other_atom_3_element_dft,anti_orbital_occupation_max_donor_other_atom_3_index_dft,dipole_moment_dft,lone_pair_occupancy_min_donor_dft,lone_pair_occupancy_max_donor_dft,dispersion_energy_dft,nbo_charge_Rh_dft,nbo_charge_min_donor_dft,nbo_charge_max_donor_dft,mulliken_charge_Rh_dft,mulliken_charge_min_donor_dft,mulliken_charge_max_donor_dft,homo_energy_dft,lumo_energy_dft,homo_lumo_gap_dft,hardness_dft,softness_dft,electronegativity_dft,electrophilicity_dft
L1,30,14,1,Rh,P,P,1.39180243,C,C,94,91,1.389934348,C,C,93,90,-5.445910183,P,Rh,C,H,1,30,85,89,-6.70459032,P,Rh,C,H,14,30,85,88,0.349390594,0.391491094,0.402717135,0.359634641,0.016343795,0.173542522,0.12508041,0.044391818,0.682437394,0.609439666,0.594188873,0.761042451,92.90208319,222.1654928,2.330337621,2.315897115,0.532298267,0.894142518,0.909231737,0.529424772,0.504213837,0.456304141,0.375793423,55.94872182,62.8568741,62.39800665,826.5935114,3.070648064,1.986829336,4.793295402,3.435159526,0.41721606,-3.070648064,0.364511462,0.067257104,TRUE,1.106416667,31.18894444,-3722.02749,-3721.909122,0.853443,0.000397008,1.88438,0.34486,1.89503,0.32967,1.95551,C,2,1.95526,C,8,1.95704,C,17,0.05653,C,2,0.05084,C,8,0.06549,C,17,1.94377,C,15,1.95878,C,51,1.95879,C,68,0.0646,C,15,0.04261,C,51,0.04736,C,68,6.358205012,1.09516,1.14021,-4.66021841,-0.30116,1.14475,1.11019,-0.678155,0.408673,0.357087,-8.437162049,-4.264296151,4.172865897,2.086432949,0.47928691,6.3507291,9.665242328
L2,28,27,22,Rh,P,P,1.39121062,C,C,86,83,1.394866597,C,C,85,82,-12.77240234,P,Rh,C,H,27,28,77,80,-14.26050506,P,Rh,C,H,22,28,77,81,0.302932319,0.393292839,0.412098735,0.310338546,0.056158667,0.172517832,0.087867109,0.05492904,0.549705971,0.614067846,0.532809983,0.769268429,93.86734374,235.249328,2.406816238,2.323101063,0.543671962,0.943632361,0.910780842,0.548293868,0.525493914,0.455562611,0.354657071,54.02773139,65.91354257,63.35845774,748.3841148,3.150850893,1.591462496,4.806290667,3.530063364,0.418921804,-3.150850893,0.379212471,0.06868922,TRUE,1.243027778,37.72827778,-3567.50341,-3567.390846,0.77664,0.000377542,,0.35912,,0.3263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.168309716,1.09823,1.19396,-4.419215214,-0.26093,1.13839,1.0274,-0.613867,0.389066,0.354999,-8.477434898,-4.364978276,4.112456623,2.056228311,0.486327318,6.421206587,10.02609822
L3,28,27,22,Rh,P,P,1.392435355,C,C,106,103,1.388874624,C,C,105,102,-14.64569747,P,Rh,C,H,27,28,97,100,-6.935351771,P,Rh,C,H,22,28,97,101,0.366149958,0.364089194,0.415861621,0.386080165,0.081445723,0.028383894,0.081514035,0.067874282,0.650854192,0.699794493,0.690646294,0.763848961,93.60203111,223.9426417,2.362471747,2.380743632,0.555400904,0.923779351,0.913075382,0.555598659,0.524754817,0.466664021,0.38307441,57.92161594,59.51693093,63.75200111,790.7220425,2.990687095,1.197028624,4.495300775,3.251414803,0.611426932,-2.990687095,0.260727707,0.062696227,TRUE,1.618416667,50.55086111,-3729.046324,-3728.925891,0.995411,0.000403934,,0.33704,,0.33147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.360384194,1.14418,1.15748,-5.156050973,-0.27578,1.06709,1.06216,-0.698187,0.286454,0.266693,-8.53621149,-4.197900372,4.338311119,2.169155559,0.461008892,6.367055931,9.344512212
L4,28,22,27,Rh,P,P,1.393590309,C,C,94,91,1.386472913,C,C,93,90,-0.287526744,P,Rh,C,H,27,28,85,88,-4.731149169,P,Rh,C,H,22,28,85,89,0.441863113,0.353611745,0.361954424,0.365939327,0.11884119,0.142061789,0.08190114,0.066496644,0.764885036,0.565161702,0.649977514,0.657412204,90.51385255,227.3468052,2.381162265,2.300999524,0.501106504,0.908195117,0.891760622,0.50789833,0.501850698,0.459322418,0.380930389,50.45135386,62.52382006,54.32646231,814.4235317,3.181731987,0.954930414,4.95250951,3.621234016,0.332992519,-3.181731987,0.439502029,0.069447932,TRUE,1.358666667,41.86205556,-3722.016668,-3721.899037,0.854244,0.000394536,,0.34212,,0.33495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53921278,1.12136,1.14973,-4.677195651,-0.26648,1.13257,1.08055,-0.468358,0.352835,0.396046,-8.560701737,-4.336406322,4.224295415,2.112147708,0.473451737,6.448554029,9.843972777
L5,30,1,14,Rh,P,P,1.390490146,C,C,94,91,1.388204579,C,C,93,90,-1.441456297,P,Rh,C,H,1,30,85,89,-4.820775273,P,Rh,C,H,14,30,85,88,0.406158383,0.380404525,0.391163762,0.404868982,0.05193467,0.199615172,0.154989952,0.071164673,0.760382095,0.561193877,0.654748012,0.711162852,92.53879132,223.9440854,2.314091553,2.300571138,0.52335888,0.905923873,0.887660734,0.523493265,0.508291681,0.468121003,0.39571936,53.9971395,65.65353535,60.30043019,907.014944,3.126626134,0.977217139,5.117274043,3.632068425,0.234168248,-3.126626134,0.505442291,0.065983838,TRUE,1.128361111,34.34663889,-3871.815098,-3871.67906,0.822004,0.000456274,1.88731,0.33413,1.88567,0.33982,1.94018,C,15,1.95693,C,35,1.95666,C,43,0.07865,C,15,0.04386,C,35,0.05428,C,43,1.95585,C,2,1.95564,C,8,1.9576,C,17,0.05834,C,2,0.051,C,8,0.06504,C,17,8.216825026,1.12184,1.09644,-4.706682125,-0.30763,1.13084,1.14324,-0.578374,0.340565,0.415957,-8.316071385,-4.240078018,4.075993367,2.037996683,0.490677933,6.278074702,9.669844481
L6,30,1,14,Rh,P,P,1.391102449,C,C,106,103,1.390014128,C,C,105,102,-8.797292015,P,Rh,C,H,1,30,97,101,-6.069712023,P,Rh,C,H,14,30,97,100,0.505345463,0.38652989,0.348163814,0.494224737,0.152980423,0.12424358,0.280468852,0.018080074,0.857710502,0.648816199,0.707980622,0.678247554,92.4743608,235.2592649,2.302159071,2.332292022,0.539304184,0.912714312,0.895184961,0.538715784,0.530933667,0.500978502,0.433490547,59.36182059,62.37199584,0,946.7950984,4.216929138,5.653143481,5.839242881,5.2695243,0.059352281,-4.216929138,1.052595162,0.062843811,TRUE,1.490833333,45.94977778,-5067.94951,-5067.79092,0.873471,0.000531913,1.89386,0.33055,1.88509,0.34785,1.94363,C,15,1.95888,C,47,1.959,C,80,0.06434,C,15,0.04251,C,47,0.04709,C,80,1.95498,C,2,1.95464,C,8,1.95655,C,17,0.05799,C,2,0.05129,C,8,0.06477,C,17,7.611495326,1.13578,1.09351,-5.181492802,-0.31955,1.11419,1.15271,-0.727487,0.359399,0.415327,-8.79199851,-4.669745788,4.122252721,2.061126361,0.485171613,6.730872149,10.99026259
L7,30,14,1,Rh,P,P,1.391944217,C,C,114,111,1.390023571,C,C,113,110,-5.314947627,P,Rh,C,H,1,30,105,109,-6.652847397,P,Rh,C,H,14,30,105,108,0.349749236,0.444911564,0.454472484,0.363981032,0.016611352,0.234625391,0.125125951,0.075348821,0.682887119,0.655197737,0.602836112,0.833596147,92.88177074,226.1633506,2.328129756,2.3161431,0.53453457,0.89563921,0.91047801,0.531744615,0.511263836,0.471965849,0.403282137,56.17539335,0,63.76452038,969.6227507,2.935292335,1.39575107,4.764155524,3.272622277,0.419174418,-2.935292335,0.337329942,0.067131405,TRUE,1.504194444,46.73836111,-4107.453463,-4107.306509,1.028095,0.000492886,1.88413,0.34506,1.89521,0.32911,1.95541,C,2,1.95529,C,8,1.95687,C,17,0.05577,C,2,0.05045,C,8,0.0662,C,17,1.94374,C,15,1.95874,C,45,1.9587,C,62,0.06468,C,15,0.04265,C,45,0.04744,C,62,5.887502701,1.08958,1.14096,-5.351114846,-0.30155,1.15348,1.10836,-0.666376,0.403474,0.350273,-8.26409764,-4.07408857,4.19000907,2.095004535,0.477325936,6.169093105,9.082965955
L8,30,1,14,Rh,P,P,1.391336381,C,C,106,103,1.387284174,C,C,105,102,-16.00624128,P,Rh,C,H,14,30,97,100,-7.098550086,P,Rh,C,H,1,30,97,101,0.55014431,0.357044454,0.407612872,0.472008903,0.252176042,0.171134502,0.188833164,0.084690572,0.848112579,0.542954407,0.755184643,0.730535172,88.12070126,235.9217246,2.316263949,2.302017967,0.513563408,0.919126211,0.886851239,0.51737943,0.52363139,0.503307406,0.446778775,53.40530317,65.1581891,57.12669751,1012.01656,4.125216768,5.361511299,5.975234886,5.277145554,0.0226939,-4.125216768,1.151928786,0.062384313,TRUE,1.776694444,50.18563889,-5217.735787,-5217.563642,0.84224,0.000577377,1.88068,0.33723,1.88701,0.3421,1.94726,C,15,1.95697,C,35,1.95581,C,43,0.06606,C,15,0.04285,C,35,0.06434,C,43,1.95299,C,2,1.95298,C,8,1.95803,C,17,0.06486,C,2,0.05501,C,8,0.06171,C,17,10.27461792,1.11226,1.10812,-5.332705255,-0.30295,1.13774,1.13171,-0.613959,0.369287,0.424239,-8.730228666,-4.67056213,4.059666536,2.029833268,0.492651301,6.700395398,11.0588636
L9,28,22,27,Rh,P,P,1.391778597,C,C,98,95,1.395598763,C,C,97,94,10.8566501,P,Rh,C,H,22,28,89,93,13.57718003,P,Rh,C,H,27,28,89,92,0.427548772,0.330980343,0.297501466,0.376903503,0.136944035,0.093058868,0.09628664,0.063342878,0.71815351,0.568901818,0.657520366,0.531660054,94.82952176,243.0540082,2.411803256,2.441398621,0.516189899,0.905964638,0.936230432,0.522899727,0.508880988,0.451291442,0.358136745,49.45923125,57.03851451,0,764.8027269,3.019551793,1.001182882,4.421794973,3.264045858,0.668699092,-3.019551793,0.244494065,0.068616466,TRUE,1.315472222,40.5175,-3574.557287,-3574.442165,0.918494,0.000386121,,,,0.25955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.765572617,1.20045,1.1582,-4.684603349,-0.20755,1.02374,1.06633,-0.556328,0.349126,0.416871,-8.602063042,-4.321712174,4.280350868,2.140175434,0.467251415,6.461887608,9.755273047
L10,28,27,22,Rh,P,P,1.390870556,C,C,92,89,1.394884919,C,C,91,88,-12.66718556,P,Rh,C,H,27,28,83,86,-14.58446553,P,Rh,C,H,22,28,83,87,0.302280503,0.40720015,0.417868305,0.309675344,0.055669094,0.201374222,0.086785493,0.056597007,0.548891912,0.613026078,0.532565196,0.779139603,93.74008283,235.516548,2.409186279,2.318644577,0.543299245,0.943533358,0.910996319,0.548014555,0.525284996,0.455825661,0.359278846,53.95581825,65.84819794,64.07352661,850.3589441,3.79440397,4.503741802,5.464230514,4.56070906,0.148074576,-3.79440397,0.76630509,0.06647333,TRUE,0.959166667,29.64572222,-4240.461188,-4240.327555,0.786789,0.000448207,,0.36013,,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.688575054,1.10067,1.19324,-4.629263316,-0.26304,1.13823,1.02818,-0.618473,0.390775,0.357137,-8.705738419,-4.627840255,4.077898164,2.038949082,0.490448736,6.666789337,10.8992619
